company;urn_id
genesta finance;18680771
genuity capital markets;978774
georg lange corporate finance;41391958
george k baum & company;59839828
georgieff capital advisors;1610777
gerken capital associates;1571332
gertz & co;12827452
gf capital management & advisors;10854278
gf securities co;10113726
ghp group;1228920
gild corporate finance;2577445
gimar & co;557746
giuliani capital advisors;26577
giza singer even;302202
gkt;1528497
glass & associates;9359194
glc advisors & co;292594
gleacher & company;63423
gleacher shacklock;2053320
glitnir banki hf;
global capital partners;689416
global consumer finance advisory;9004075
global finance;26601
global hunter securities;15935374
global leisure partners;237443
global m&a partners;1181761
global markets capital group;102238
global strategy;68660
global wine partners (us.);
globalscope partners;3662539
globalturk capital;1845743
globalview advisors;143734
gmp firstenergy;71397708
gmp securities;33036
gneiss energy;15156250
gobbi & associati;
goetzpartners;61665
golden gate capital;34024
golden sun securities co;6134008
goldenhill technology advisors;
goldin financial holdings;10554752
goldman sachs & co;58181243
goldsmith agio helms;8209981
goldstate securities co;6900189
goodbody corporate finance;10140433
gordon dyal & co;11160555
goren capital group;2026698
gower management group;
gp bullhound;63517
gpf & partners;73475539
grace matthews;144004
grand cathay securities corporation;5518009
grand finance group co;
grand vinco capital;9155289
granite partners;2235481
granite tower capital;
grannus financial advisors;6066891
grant samuel;52055
grant thornton;2432
grant thornton ireland;222207
granville;1049920
gras savoye;19102719
grasberger, ziems & partner;
great lakes partners;42484
great wall glory securities co;41809077
greater china appraisal;
green cape finance;26866325
green manning & bunch,  (gmb);
greene holcomb & fisher;
greenfield partners;3683648
greenhill & co;15780
greenhill caliburn;930039
greenstone partners;3477434
greentech capital advisors;
greif & co;1786438
gresham advisory partners;5639192
greystone & co;
gridley & company;101689
griffin financial group;152948
grisons peak;861529
groton partners;115942
groupe carmin;48619835
groupe exelmans;
groupe ird;333296
growth capital partners;335468
growthpoint technology partners;878667
grt partners capital e participacoes ltda;
gruppo ersel;
gruppo levey & co;55278797
gryphon investors;1353256
gryphon partners;6381428
guangdong securities;5758041
guangdong sincere safe credit co;
guangdong zhong guang xin asset valuation company;
guangzhou securities co;6902275
guarita & associados;115976
guggenheim corporate funding;58662945
guggenheim partners;15823
guidehouse;28974109
guizhou huachuang securities broker co;
gulfmerger;463094
gulfstar group;59204
gunnallen financial;15825
guodu securities co;
guorong securities;
guosen securities co;43686969
guotai junan securities co;443617
guoyuan securities co;
gut corporate finance;64597110
gvg corporate finance advisors;41126176
h&s ventures;2074192
h&z unternehmensberatung;
hahnconsultants mergers & acquisitions;
haitong bank;57929556
haitong securities co;41737580
halcyon capital;73903421
hales & company;143994
hall chadwick;34959
hamburg commercial bank;13054727
hampleton partners;3365381
hana daetoo investment banking (formerly hana investment bank);
hana financial investment co;14446323
handelsbanken capital markets;4006
hanley, hammill, thomas;
hannam & partners (advisory);
harbert management corporation;46758
harbor hills partners;347940
harbor view advisors;9396923
harbury advisors;
hardy transaction management;266068
harpia capital ltda;2552373
harris williams;19410
harrison lovegrove & co;
hart shaw;660962
hartleys;18252653
harvey & company;383373
hatcher group;433518
hauck & aufhauser corporate finance;
havila partners;20963075
hayes novus;
haywood securities;34775
hazlewoods;101780
hb corporate;42480
hbos;3096
hc securities and investment;
hc wainwright & co;
hcf. hanse corporate finance;5830721
hdr partners;263494
headwaters mb;58225564
healthcare growth partners;1627660
heartful tax accounting;
heffernan financial advisory;53496714
heimari oy;
hekla corporate finance;586558
helaba landesbank hessen thueringen girozentrale;
helbling business advisors;18375
helder;25053539
hemingway corporate finance;3317621
henan jinshi asset appraisal;
henderson loggie;19196655
hengtai changcai securities co;43612737
hengtou securities (aka hengtai securities co., .);
herax partners;1272330
herbst hilgenfeldt partners;28492943
hercules capital;350169
heritage partners (formerly mvp partners);
hexagone capital;26813031
hichens harrison & co;
hide puylajarde mahieux libaud;
hideal partners;417392
highbank advisors;1764329
highbury partnership;18797518
highsea commercial investment consulting co;
hill street capital;134715
hina group;60950
hindal corporate;17874655
hinduja bank (switzerland);
hines associates;20308
hiq capital corporation;
hirashima e associados;24952235
hitz & partner corporate finance;1621737
hjalmarsson & partners;16231772
hlb international;640780
hlb kidsons;
hlp corporate finance;2922007
hms connect;10667774
hmt;456127
hoche partners;25719830
hoefer & arnett;68527
hogenhouck bv;
holliday fenoglio fowler;18930
hollyhigh international capital;1893733
hong leong financial group berhad;
hongta securities co;5737122
hongxin securities;41995952
hongyuan securities co;19199799
honoris finance;865052
horan & associates;70003360
horizon advisory services;18135690
horizon securities co;
hottinguer corporate finance;627689
houlihan lokey;164223
houlihan lokey (corporate finance);
houlihan smith & company;
hovde financial;8891566
howard frazier barker elliott;
howe barnes hoefer & arnett;68527
hq bank;30682539
hsbc;1241
ht capital advisors;
huaan securities co;41792379
huajin securities co;
huajing securities;13673644
huarong securities co;
huatai securities co;960074
huaxi securities co;12668684
huaying securities co;
hub capital partners;1943548
hubei wanxin asset appraisal;
hubei yongyehang appraisal consulting co;
hunter capital assessoria empresarial ltda;
hunter wise financial group;
hunting holdings;71673886
hutcheson & co;2033877
hvb corporate finance (formerly hvb consult);
hvs hodges ward elliott;18053529
hw corporate finance;22210784
hwabao securities;1313956
hwang capital (malaysia) berhad;
hyde park capital partners;
hyundai motor securities co;3230161
hã¼bner schlã¶sser & cie;
i-advise;10567796
i-deal development;790524
ibanez y gil;39066758
iberfinanz corporate advisory;
ibi corporate finance;91073
ibis capital;143587
ibs capital allies;2702475
icapital;3080201
icbc international holdings;
icea capital;8047587
icecapital securities;81988
ich capital;10011619
icici bank;2967
icici securities;34053972
icon advisers;51945
icp value;
icr westwicke;362106
idbi capital market services;27382648
idea capital;3260595
idj;489347
ieg - investment banking group;541518
ignite renewable capital;33285953
ikb deutsche industriebank;19122
ilirika dd;
im trust;3677554
imap (international network of m&a partners);
imap access 2 sp. z oo. (former access 2 sp z oo);
imap m&a consultants;711714
imap netherlands;247776
imap portugal;
imap southeast europe;2034297
imap sweden;
imbewu capital partners;2753807
imi - intesa sanpaolo;
imperial capital;3307690
imperial capital bancorp;513363
impulsa capital, sl;
in extenso;83127
incu corporate finance;1936206
independent advisor (marko capeta);
india brook partners;14617263
indusind bank;30265
industrial development bank of turkey (tskb);
industrial securities co;13652121
industrie consult international;12316388
infima;24973640
infinity capital;102831
infor financial;9384715
infranode;3006362
infrared capital partners;2171676
ing;2594164
ingefin ingenierie financiere;
ingenious corporate finance;31978
ingram forrest corporate finance;
initia corporate finance;1453985
inner circle sports;410258
innisfree;1622634
innovation advisors;11510568
innovation capital;3963667
innovative shareholder strategies;5132105
innovator capital;1539070
inovis capital;8763556
inside partners;1041717
inspirit partners;27129256
institutional financial markets;56978071
integrated finance;2621595
integrity management consulting;880239
intellectual capital advisory services;33572780
intelli corporate finance;5502293
intelligence unit consulting;2634198
interface entreprises;2604238
interfinancial corporate finance;145150
intermediate capital group;52126
intermonte securities corporate finance;
internal;4922
intesa sanpaolo;164437
intrepid partners;55170627
intuitucapital;45739734
inveniam corporate finance;10497116
invercaixa valores sv;
inverlink;92136
invest corporate finance;11023952
investec;4483
investment agency;21794
investment bank of greece;
investment one partners;24921641
investments & finance;1237897
inwestexpert corporate finance;
ipo beteiligungs-management nfg kg;
ipontix equity consultants;
ipopema securities;3194401
ir japan;153667
irg;15239959
iris cf;70981400
iris finance;6859170
irish bank resolution corporation;13415
irival consultoria;40045031
is investment securities;
isca ventures;2383782
ism capital;658188
israel discount bank;58783687
it exchangenet;3209995
itau unibanco holding;29028291
ithuba capital;2078030
iti capital;27149106
ivory capital asia;72015816
ivs investment banking;40948200
ixe grupo financiero de cv;35847947
ixis corporate & investment bank;
j jeffrey brausch & company;53921541
jackson corporate real estate;4391542
jacob securities;540371
jacobs capital;15176221
james cowper;59719
james h. avery co;
james s maude & co;
jamieson corporate finance;853478
janney montgomery scott;11424
janâ© overnames & waarderingen;
jarden;485399
jarlsberg partners;676160
jasper corporate finance;21120656
java capital;42790638
jay capital advisory;76555292
jb. north & co;
jc rathbone associates;
jefferies;5154
jefferies hoare govett;63871521
jegi|clarity;
jennings capital;57610614
jesup & lamont securities corporation;
jf capital advisors;9220079
jf mittelstandspartner;6440246
jh. chapman group, llc;
jianghai securities co;41809208
jll partners;117808
jm corporate finance oy;
jm financial;42676
jm morgan stanley;33940802
jm. finn & co;
jmp securities;4329582
john east & partners;
john gordon walton & co;20732536
john thomas financial;467494
jones lang lasalle incorporated;
joseph decosimo and company, pllc;
jp weber;707895
jpa brenson lawlor;1539592
jpmorgan;1068
jpmorgan cazenove;20795848
jsquare conseil;9298679
jumbo consulting;18092266
jung-il accounting corporation;
juniper advisory;545118
jz capital partners;6214968
jz securities co;355066
kaiyuan securities;76814718
kaleidos corporate finance;476810
kaufman bros;49549
kaufman, hall & associates;
kaulkin ginsberg company;
kaupthing bank hf;
kaupthing hf;
kaupthing singer & friedlander;55807
kb securities co;6494565
kbc securities;15786
kc capital;413369
kearney;2196
keefe, bruyette & woods;
kempen & co nv;
kenanga investment bank berhad;51905117
kendrick pierce & company;
kenneth j dalto & associates;3237536
kepler cheuvreux;3203469
kerius finance;933473
kerlin capital group;1402464
kessler financial services;10870811
kestrel capital (east africa);
key capital;8816
keybanc capital markets;8816
keynote corporate services;133632
keystone advisers;25171073
keystone mcf;
kgi group;117544
kidder williams;1707257
kidron corporate advisors;1032095
kim eng securities;518911
kinetic advisors;1696997
kingston corporate finance;200280
kingsway capital;13303060
kinmont;22262543
kinsella group;133577
kipco asset management co. ksc;
kippsdesanto & co;1717017
klecha & co;570756
klein & coll;1593015
klein and company;11541
kloepfel corporate finance;10882548
kma capital partners;75550
knight corporate finance;570764
knox & co;60100108
kon;6152
kordamentha;31142
korea development bank;91743
korea investment & securities co;744588
kotak investment banking;5635
kpmg;1079
kr & partners;2705560
krall & co;1287676
kreston reeves;121515
kt&partners srl;57956429
kudos;1253121
kudun and partners;14648961
kuhn capital;66667319
kumulus partners;28994880
kurt salmon us;
kvika banki hf;347590
kwc;164647
kwikgielen corporate finance;1164692
l&b partners;29118840
l&co /;1073
l'epervier;527557
l'lione & associes;
la baume finance;11015141
labs corporate finance;4986057
ladderup corporate advisory private;6678406
ladenburg thalmann financial services;2356392
lage jonason;
lake street capital;2880261
lake street capital markets;2880261
lambert & lee;
lambert energy advisory;22111353
landesbank baden-wuerttemberg;
landpoint corporate finance;794518
landsbanki corporate finance;
lane berry & co international;60727342
langham capital;75259
langtons;10693961
lansdowne capital;73918496
largilliere finance;1636579
larrainvial;36194
lasser advisory services;
lathrop & gage;3255702
latin finance advisory research;
laurens van asselt advisory bv;
laux & company;
layer 7 capital;11087225
lazard;4757
lazard carnegie wylie;
lbc corporate finance;20935602
lbo managers;5755072
lcl;11305
ld&a jupiter;41086211
leading ridge capital partners;945334
lecg corporation;
legacy capital;28642089
legacy partners group;82709
legg mason;5232
lego corporate finance;14595917
lehman brothers;1465
leimdorfer;51513936
leitnerleitner;1069660
lenner & partners;1554331
leonardo & co;918512
leonardo italy;43287455
leonardo midcap cf;6055256
leonhardt, dietl, graf & von der fecht;
leonis partners;27173538
leopold capital partners;
lepe partners;2578264
lewis charles securities;
lewis, birch & ricardo;
lexicon partners;75890
lexington corporate advisors;19434693
lfc partners;11220189
lg. zangani;
lgb corporate finance;18634544
lianchu securities co;
liaoning huachengxin assets evaluation co;
libertas capital corporate finance;63921563
libertas capital group;63887662
liberty corporate finance;461809
liberum capital;10241667
libra securities;59883
liechtenstein & cie.  & co. kg;
ligerion group;
lincoln international;22432
lindenaar & co;815474
linear capital;10776897
lingedael corporate finance;3093793
linkers capital;26040882
lion capital advisory;1566151
liontree advisors;25886069
livingstone partners;1082543
ljs holdings;328956
lloyds banking group;417361
lmc capital;69222634
lockdutton corporate finance;5210073
locus capital partners;
lodge partners;1496722
logion finance;6478131
lohmus, haavel & viisemann;
london & co;882641
london bridge capital;10956333
london technology partners;55081347
lonergan edwards & associates;6470772
longacre partners;72740025
lovewell blake;578293
lrg capital group;871492
lsc healthcare partners;
lucciola & partners;72150004
luciano favero (private investor);
ludovici piccone & partners;5340998
ludwig & co;3493072
luma partners;1210691
luminis partners;9329454
lwbj financial;
lxg capital;3184485
lydian capital partners lp;
lyra partners srl;
lytham partners;3892768
lytkowski & company;
m partners;118036
m&a advisory group, , the;
m&a securities sdn bhd;
m&c ventures;19922085
m2g;33260191
m6 business advisors;16155002
maasdael corporate finance;933474
macadam  (formerly murray winter & partners );
macadam capital partners;9126529
macarthur & co;471395
macdonald investments;76565460
macilvin moore reveres;
macquarie group;3537
macquarie private wealth;60161193
macquarie securities (asia) . . (macquarie funds);
madison park group;6446110
magisters;
mahler corporate finance;519137
mainsheet capital;42887
mainspring , sl;
majer & co;36309954
malaysian industrial development finance berhad;
managemens;12637832
management advisors;1235
mandatum & co;
mandel partners;1241479
mannheimer swartling;164838
mansartis;2915868
mansfield advisors;3476292
mansfield communications;3254503
map capital;1024117
mape advisory group;37622
mapes advisors;
maple securities (uk);
marathon capital;118021
marceau finance;5797575
marco polo advisor;1283416
marcos llado bertrand (private individual);
marechale capital;1796353
marion financial;1349865
mark holt & co;5048059
marketing management group;80766214
marks baughan & co;
marktlink fusies & overnames;
markus partners;73950963
marlborough partners;1356314
marlin & associates;35595671
marriot securities & investment co;
marriott & co;1530816
marsden clark corporate finance;19524867
marsh & mclennan companies;23850018
marsh, berry & co;
marshall & ilsley corporation;58320175
marshall & stevens;37703
marshall securities;55125161
martin wolf securities;
marwyn investment management;16958312
masazane capital;5416212
massellaz;73455792
masterlink securities;9403273
mastodon ventures;16016492
matrix capital markets group;69693
matrix corporate finance;18678190
matrix group;1117683
maxcap real estate investment advisors;378294
maxim group;8343
maybank investment bank berhad;
mayerhoefer & co;
mayfield partners;11087029
mazars;5126
mazzone & associates;352230
mba capital;2943134
mba lazard banco de inversiones;
mbc.- merchant banking consulting;10088132
mbcf;2434295
mc square capital;9552725
mcadams wright ragen;52651
mcb capital markets;5813115
mcbrides chartered accountants;2338210
mccafferty & company;21901091
mccoll partners;31837
mcconnell, budd & romano;
mcdouall stuart group;754233
mcf corporate finance;49560
mcgladrey capital markets;
mcguirewoods capital;13225501
mcinnes corporate finance;37786
mckinnon & company;
mcknight capital partners;
mcnamee lawrence & co;626089
mcqueen;45763
mcqueen financial advisors;1451256
mctrustco;
md johnson;2007916
media capital partners;3726240
medici corporate;118164
medinvest;69024354
mediobanca;13738
mediocredito trentino alto adige;6001183
meghraj capital advisors private;
meitav capital;11397673
melcap partners;5562018
melchersraffel;2705685
melcion, chassagne & compagnie;
meliorbanca;30249
mellenthin corporate finance;
melloni & partners;18827654
menzies;18698
merasco;72167647
mercator capital;8488498
mercer capital;83603
merchantbridge & co;22142347
merchantec capital ();
merchants and manufacturers bancorporation;
merck finck & co;41157155
mercury securities sdn bhd;
merger & acquisition services;2239924
merger & acquistion services;1762802
merger vision sro;1611709
meridian corporate finance;1467971
merit harbor group;
meritz securities co;1123027
merodis;2714301
merrill lynch;1178
merrill lynch petrie divestiture advisors (formerly petrie parkman & co);
merriman holdings;5808535
merriman wealth management;618248
merrion capital group;
mesirow financial holdings;
messier & associes;27115002
messis capital;6566026
messis finances;
meta corporate finance;348647
methorios capital;349880
methuselah advisors;10847395
metier private equity ();
metronome partners;19203873
metropolitan capital bank & trust;
metta capital;65747137
metzler corporate finance;
meunier & associes;25751279
mfc merchant bank;
mg advisors;20971394
mgb capital;79894629
mgi excellence & co;
mha tait walker, accountants and business advisors;
mhs corporate finance;1190775
mht partners;64406
michael p. kahn & associates;
middle market solutions;283843
middlecap partners;
midf amanah investment bank berhad;
midventum oy;1728117
midway advisory group;
milan kovacevic;54577645
miles advisory partners;754481
milestone merchant partners;40837103
mille capital;65857349
milleniumassociates;1999231
millennium finance corporation;379400
millennium investment banking;
miller buckfire & co;
millstein & co;58855312
mimb investment bank berhad;14442542
minaret capital;8115805
minmetals securities co;
minsheng securities co;43582018
mintz & co;8395819
minvestment banking;2637510
mirabaud group;26532
mirabaud securities;
mirae asset securities co;
mirus capital advisors;64206
mitchell charlesworth;132295
mitchell energy advisors;65287767
mitchell hartley advisers;15566654
mitfin;68974958
mitiska;52459
mitsio corporate finance;5950339
mitsubishi ufj securities co;8724427
mittel advisory;339032
mizuho financial group;7318
mj partners ltda;
mjc partners;3100099
mm. friedrichâ heilbronnâ &â fiszer;
mmg advisors;3681888
mmwarburg & co ( & co.) kgaa;
mnb maizels;
moag & company;
moelis & company;394293
molino facchinelli zerbini & partners;
momentum corporate finance;2876253
monocacy financial advisors;54742589
monroe financial partners;52139705
montalban;4993583
monte de piedad de madrid;
montgomery & co;236925
montpensier finance;1685650
montrose;3867031
montrose national partners;19043879
moore;166866
moore & smalley;
moore & van allen pllc;28175
moore kingston smith;32066
mooreland partners;59734
moorgate capital partners;
morgan joseph triartisan group;4788746
morgan keegan & company;
morgan keegan technology group;63210664
morgan stanley;497017
morpheus capital advisors;27386009
morrison low;509384
mosaic capital services   [india];
moss adams capital;
motilal oswal investment advisors;27829965
moyes and co;
mp corporate finance;984322
mpa morrison park advisors;2892999
mps capital services;
mru manner-romberg unternehmensberatung;
mti consulting;93101
mts health partners;118841
mufson howe hunter & company;
mulier capital;2047565
murphy noell;8252113
mustang capital partners;4122171
mxc capital;36017388
mxc capital markets;
mystic capital advisors group;132107
n+1 singer;
n+1 swiss capital;65219641
nabarro wells & co;
nachfolgekontor;12182511
nanjing securities co;5651966
nash & co capital;20874488
nash advisory;2549022
nassau group;9333320
natexis finance;49594
national bank financial;874902
national city corporation;6553437
natixis;157354
natixis partners spain;
natixis wealth management;11369861
natrium capital;33196946
natwest corporate advisory;
navigant capital advisors;4904
navigator capital group;70113
navigo partners;853310
navitas capital;329210
naylor capital corporation;
nbc stockbrokers;
nbk capital partners;10036888
nc advisory;166346
ncb corporate finance;
nci gestion;
ndb investment bank;6728961
nedbank capital;
needham & company;15291
nem due sgr;
nemrod finance;64563018
network corporate finance  & co. kg;
new boathouse capital;8148002
new deal advisors;6369262
new delhi corporate consultancy services;3495764
new harbor;3040777
new heritage capital;2536283
new holland capital;94246
new times securities co;5891973
new world corporate finance;5684916
newbridge securities corporation;76780
newfields advisors sdn bhd;
newgate partners;456181
newman lowther & associates ();
nexia samduk;
next! financial advisors;75276880
nexus investment corporation;5054628
nfinance;2889568
ng finance;2397408
nh investment & securities co;
nibc bank nv;
nielen schuman;1132184
nikolaus & co;2356839
noah advisors;679466
noah capital corporation;
noble & co;10556021
noble grossart;20858342
nodus capital;40672647
nolan & associates;1064914
nomura holdings;33587730
nomura international;22111107
noqca partners;8445487
nor capital;9177146
nord croissance sas, scr;
norddeutsche landesbank;41258134
nordea;2007
norden investment banking;
nordest merchant;8384554
nordfirst corporate finance;
nordhaven corporate finance;25046896
nordhaven corporate finance oy;
nordic m&a;10634141
norgestion;105159
normandie participations;77054861
normart;82931727
norte capital;11256252
north coast advisors;6001315
north point advisors;3978631
northeast capital & advisory;6711580
northeast securities co;3995148
northern securities;56224
northington partners;3038580
northland capital partners;1367145
northpoint advisors;1367153
noventus partners;4314070
novitasftcl;10458069
novum securities;3848752
nra capital;13273448
nrg capital partners;9502871
numerica group;17758499
numis securities;21525989
nykredit;4339
o&r corporate finance mbh;
o3 capital global advisory;27911207
oakley advisory;10506978
oaklins;15203584
oaklins austria;37403272
oaklins lithuania;2939527
oaklins netherlands;46657
oaktower partnership;2428441
oaktree financial advisors;2814950
obair partners;26261123
oberon securities;1057054
objective capital partners;
oc&c strategy consultants;8203
ocean merchant corporate finance;18644340
ocean partners;1330147
octal capital;5624611
oddo bhf;9208
odin financial advisors;1780588
odyssey corporate finance;
oem capital;105882
oertel scheller  (os);
oghma partners;1001539
ohana & co;6608027
old well;33244366
olimpia partners;1403586
oloryn partners;2461182
olsen palmer;15225596
olympus capital group;
omega capital;18623651
omega capital corporate finance;11035279
ondra partners;1033735
one capital;1419
one square advisors;28654853
onetoone corporate finance;60396
onex falcon;135807
oppenheimer & co;94079
opticroissance;147088
optim&a;43010
optima capital;55041341
optima corporate finance;1490141
optima corporate sl;
optima group;2143360
opus corporate finance;1581359
oquendo corporate;5798479
orange corporate finance;9272693
orbis partners;5037316
oriel securities;64249593
orient securities company;1899434
orient securities investment banking;3564860
oriental prosperity management;13398620
origin capital;9407498
origin capital group;1138268
origin merchant partners;2735710
orion corporate advisory services;3721428
orion finance corporation;63993663
orion securities;165346
osk investment bank berhad;
osprey capital partners;12805
ostrowski & company;
otkritie holding jsc;
otsana capital;
otus & co;2568889
oved, gubi & co;
oversea-chinese banking corporation;41881703
oxeye advisors;10894337
oxigen;154843
ozman & co corporate finance;
oâ€™sullivan partners;
p&m corporate finance;60478
p2c-partners;2503837
pa consulting group;10265804
pac partners;3497047
pacific road corporate finance;
paf securities;223654
pagemill partners;
painewebber group;
pakenham partners;9347244
palazzari & turries;489134
pali capital;31766
pall mall capital;64900
palladio corporate finance;61853503
palladion partners;36341091
palladium capital advisors;
pambianco strategia di impresa srl;105777
pangaea securities;4793939
pangea property partners;2343824
panmure gordon & co;
panrise;17898728
paracap group;1562060
paradigm capital;84546
paragon capital partners;1811526
pareto securities;3090730
paris corporate finance;15212248
park national corporation;56925883
park partners;37381051
park place corporate finance;1920233
park sutton advisors;9127311
parker/hunter incorporated;4591
parks paton hoepfl & brown;
parsec finance srl;
partners;33732
partners capital international (hong kong);
partnership capital growth;915467
pasadera capital;10794617
pathway partners;7580233
pathway ventures;23758335
patria corporate finance;18202322
patriot capital;774198
paul j. taubman (individual advisor);
pax consult;787513
pax corporate finance;858518
pc capital;1928695
pc hansen & co;18588039
pce investment bankers;119402
pce investors;1079367
pdf corporate finance;881161
peel hunt;31055
pekao investment banking;18029691
pelham street capital;
pem corporate finance;551937
pembroke group;9197831
pendulum capital;8181077
per karlsson and company;
peregrine capital partners;8664077
peregrine corporate finance;
perella weinberg partners lp;62723847
performance trust capital partners;52680
perseus;25050544
perspektiv;13584721
peter a sokoloff & co;
petercam;10164468
peterhouse capital;5315376
peters & co;119712
peters associates;25946
petersen capital corporation;
petrie partners;15388788
pgp capital advisors;1807737
phalanx capital;419854
pharus advisors;55584865
phatra securities public company;
phidelphi corporate finance;2847017
philadelphia brokerage corporation;
philippe hottinguer finance;2816136
philippe villin conseil;46547900
philo smith & co;
phpartners;
pi capital international;14070295
pi financial;989631
pickering pacific;343531
pilko & associates, lp;
ping'an securities co;
piper sandler & co;
piraeus bank;9932
pirola corporate finance;10625013
pitcher partners;165478
pitt capital partners;8668147
pjt partners;10250583
pk partners;1577821
pkf (uk);
pkf attest;1078028
pkf australia;18879068
pkf francis clark;398023
pkf-vmb;22859811
pl advisors;3152644
plante & moran;53702962
plante caneaux expertise conseil;
platinum securities company;5301815
plethora businesses;244595
ploenchit capital co;
pm securities sdn bhd;130708
pmg capital corporation;
pohjola corporate finance;8481522
polaris securities co;
ponthieu partners;50599792
porsadin sas;
porta finance;2484070
portico capital securities;6896980
portunas;
potomac capital conseil;
pottinger co;41093477
poyry capital;82734582
ppb advisory;1560612
prabhudas lilladher private;400531
praestantia;34225206
pragma corporate finance;537506
prairie state bancshares;57947329
pramex international;350339
precipice capital corporation;
preston todd advisors;
pricehorne;15770839
primary capital;56539
primepartners corporate finance;129498
principal real estate europe;9443536
priscus finance;11484551
prism corporate broking;1391363
privredna banka zagreb d d;12851
proactive capital group;56316321
probank austin;958946
procorp asa;23066107
profession finance;10149442
progress partners;77229
prosperity investimentos e gestã£o ltda;
prothea;701462
proton bank;201499
proton capital;1306552
protos energy advisory;1310965
provenance capital;68972060
proventis partners;121964
provident healthcare partners;148106
pruzan & co;
psg capital;64615062
psource capital;9187521
pt danatama makmur;6007064
public investment bank bhd;
puhl  & co. kg;5715541
punongbayan & araullo;53307
putnam lovell nbf;28038
pwc;1044
pwc transaction services;65139429
q advisors;70433
qatalyst group;63473329
qinisele resources ();
qinvest;575164
quadrangle group;45099
quantum capital partners;4844147
quantum corporate finance;12078091
quantuma;3123727
quarterdeck investment partners;62728853
quartile partenaires;
quarton international;1608883
quazar capital corporation;
quercus corporate finance;4107165
questco;928834
quilvest;94725
quintus partners;4869569
quirinus capital;
quist partners;10021593
quore capital;2223103
quorum group of companies;
r&d venture partners;2306727
rabobank;1970
raiffeisen bank international;1347312
raine group;588138
ramcke & co. corporate finance;41305725
rand merchant bank;6837
raphael financial advisory;10341404
rath, anders, dr. wanner & partner;
rautenberg & company;5054784
raymond james;4207
raymond james corporate finance;12585465
rbc capital markets;1800
rbi advisors;8488254
rbsa advisors;246651
rca corporate finance;10351507
rcf corporate finance;94793
reanda m y wu & co;
record point;1414152
redbaenk;628795
redeye;2752711
rees pollock;
regent assay;2660580
reimei global advisors;
reiten & co;77200
reliance capital;2376
religare capital markets;30037
renaissance capital;1029637
renninger & associates;64952790
republic capital group;15205773
republic partners;1521855
research capital corporation;29252
resolution partners;2288612
restrukturierungspartner rsp  & co. kg;
results international group;8896381
retail capital advisors;36797442
reyes tacandong & co;1091025
reyl & cie holding;
rfc ambrian;3212773
rgs partners;3031224
rhb investment bank berhad;
rhk capital;11055886
rhone capital;78129583
richmond park partners;463551
rickitt mitchell & partners;20041551
ricol et lasteyrie et associes;
ridgecrest advisors;1451351
ridgemont equity partners;1175762
rightliens;28619360
rio bravo investimentos;39618
rippledot capital;2181624
ristrutturazioni & sviluppo;76172296
ritterwald;10940973
river group;415953
riverhill partners;628712
riverwide;67485630
rivington capital advisors;6725454
rn2 advisors;
robert de ruiter;
robert w. baird & co. incorporated;
robertson stephens;11794042
robertsons chartered accountant;
robey warshaw;10003534
robson taylor corporate finance;
rockefeller capital management;11511462
rockworth management partners;376838
rodman & renshaw capital group;
roedl & partner;27063555
roever broenner susat mazars  & co. kg;
roger g. powell;
roger williams;19341
rohatyn associates;
roland berger;3950
roland conseil;47324263
rolland, berger & associes;
roman friedrich & company;
ross road partners;
rossoff & co;
roth capital partners;19644
rothgordt & cie;
rothschild & co;5298
rowan dartington & co;21269761
royal bank of scotland group;7983731
royce peeling green;
rp financial, lc;
rp&c international;
rp3 prosperity;
rpa advisors;15765889
rs group;81290626
rs platou markets;
rsm;3743
rsm bentley jennison;
rsm mcgladrey;3743
rsm nelson wheeler;
rsm robson rhodes;
rsm tenon group;55094652
rsm uk group;836180
rubicon capital advisors;2424956
rubicon partners corporate finance;64960395
rubino & mcgeehin;
ruegg & co;21483448
russell bedford international;241836
russian investors;
ryan beck & co;14953
sac capital private;8411201
saci reberty;5915204
saffery champness corporate finance;25532
sagent advisors;
saitama resona bank;
sal. oppenheim jr. & cie. kgaa;12311
salamandre global advisory services;
salans;165821
sallfort privatbank;2754922
salman partners;106373
salomon smith barney;27134215
samco capital markets;41238
samsung securities co;
samuels corporate;22113951
sancovia corporate finance;9247018
sanderson weatherall;84856
sandgrain securities;6351728
sandler o'neill & partners;
sandton partners;1404634
sangyo sosei advisory;5879364
sanlam securities uk;63861157
sanlam securities uk  (formerly merchant securities group );
sansara financial services ();
sanston securities australia;31515183
santander bank polska;6402
santander corporate investment banking (scib);
saola healthcare partners;54859855
sapient corporate finance;6748843
sapphire professional services;7644906
sardis capital;83924810
sars;8465
sasfin capital;33250299
saski partners;1834083
satori investments;8735339
savile capital;24785887
savvian advisors,  (formerly perseus group );
savvian kk;
sawaya partners;106528
saxenhammer & co. corporate finance;15082664
sazun;18048531
sb indo advisors kk;1912214
sbc capital;65486747
sberbank cib (sbercib);
sberbank oao;
sbi capital markets;13442
sbi china capital;13442
sc&h group;33639
scale finance;392105
scan securities oy;
schapira group;
schnitzius & vaughan;
schroder salomon smith barney (sssb);
schwartz investment house;3192225
scotiabank;3139
scott & stringfellow;5345252
scott goodman harris;58073952
scott-macon;84877
scouting capital advisors;76974224
screen capital international;
scs global holdings;
sdm-valorum corporate finance group nv;
sdr;53123772
seabury group;59619403
